Opening log file:  /home/users/mbenguebila/java.log.16170
[?1h=
                                                                                            < M A T L A B (R) >
                                                                                  Copyright 1984-2017 The MathWorks, Inc.
                                                                                  R2017a (9.2.0.538062) 64-bit (glnxa64)
                                                                                             February 23, 2017

 
To get started, type one of these: helpwin, helpdesk, or demo.
For product information, visit www.mathworks.com.
 
[H[J    10

Elapsed time is 138.555515 seconds.
File #	Point #	Step #	Time	#Time left
1	1	0	    0.00	     Inf
1	6	5000	    2.44	 4878.56
1	11	10000	    4.84	 4832.83
1	16	15000	    7.20	 4793.24
1	21	20000	    9.57	 4776.26
1	26	25000	   11.96	 4770.24
1	31	30000	   14.32	 4759.79
1	36	35000	   16.72	 4759.90
1	41	40000	   19.06	 4747.02
1	46	45000	   21.42	 4739.32
1	51	50000	   23.77	 4729.80
1	56	55000	   26.13	 4724.39
1	61	60000	   28.50	 4720.78
1	66	65000	   30.85	 4715.00
1	71	70000	   33.23	 4713.46
1	76	75000	   35.57	 4706.96
1	81	80000	   37.90	 4700.20
1	86	85000	   40.22	 4691.99
1	91	90000	   42.56	 4686.75
1	96	95000	   44.95	 4686.73
1	101	100000	   47.34	 4686.71
1	106	105000	   49.68	 4682.00
1	111	110000	   52.04	 4679.00
1	116	115000	   54.39	 4675.60
1	121	120000	   56.71	 4668.81
1	126	125000	   59.06	 4665.95
1	131	130000	   61.48	 4667.54
1	136	135000	   63.83	 4664.37
1	141	140000	   66.20	 4662.42
1	146	145000	   68.56	 4659.99
1	151	150000	   70.90	 4655.53
1	156	155000	   73.27	 4653.91
1	161	160000	   75.65	 4652.56
1	166	165000	   78.02	 4650.68
1	171	170000	   80.43	 4650.77
1	176	175000	   82.80	 4648.72
1	181	180000	   85.16	 4646.15
1	186	185000	   87.49	 4641.81
1	191	190000	   89.87	 4640.27
1	196	195000	   92.24	 4638.04
1	201	200000	   94.59	 4634.80
1	206	205000	   96.93	 4631.56
1	211	210000	   99.30	 4629.07
1	216	215000	  101.65	 4626.35
1	221	220000	  103.95	 4620.98
1	226	225000	  106.27	 4616.65
1	231	230000	  108.64	 4614.80
1	236	235000	  110.95	 4610.47
1	241	240000	  113.28	 4606.77
1	246	245000	  115.61	 4603.02
1	251	250000	  117.94	 4599.67
1	256	255000	  120.27	 4596.03
1	261	260000	  122.58	 4592.14
1	266	265000	  124.93	 4589.54
1	271	270000	  127.24	 4585.48
1	276	275000	  129.60	 4583.01
1	281	280000	  131.91	 4579.18
1	286	285000	  134.24	 4576.04
1	291	290000	  136.64	 4575.05
1	296	295000	  139.05	 4574.52
1	301	300000	  141.40	 4571.95
1	306	305000	  143.80	 4571.08
1	311	310000	  146.23	 4570.81
1	316	315000	  148.64	 4570.08
1	321	320000	  151.01	 4568.08
1	326	325000	  153.34	 4564.79
